price,oracle_expected_demand,oracle_constrained_sales,oracle_expected_profit,oracle_optimal_price,oracle_optimal_profit,is_oracle_optimal
1,56.64687653117495,45,-180,35,169.08874902119084,FALSE
1.25,54.43399175943822,45,-168.75,35,169.08874902119084,FALSE
1.5,52.19578844800754,45,-157.5,35,169.08874902119084,FALSE
1.75,49.96045935694662,45,-146.25,35,169.08874902119084,FALSE
2,47.75429271173462,45,-135,35,169.08874902119084,FALSE
2.25,45.60035261616259,45,-123.75,35,169.08874902119084,FALSE
2.5,43.51756112131164,43.51756112131164,-108.7939028032791,35,169.08874902119084,FALSE
2.75,41.520240562073575,41.520240562073575,-93.42054126466554,35,169.08874902119084,FALSE
3,39.61810699170691,39.61810699170691,-79.23621398341382,35,169.08874902119084,FALSE
3.25,37.81664152045953,37.81664152045953,-66.17912266080417,35,169.08874902119084,FALSE
3.5,36.1177220602882,36.1177220602882,-54.1765830904323,35,169.08874902119084,FALSE
3.75,34.52038370343038,34.52038370343038,-43.15047962928798,35,169.08874902119084,FALSE
4,33.021590433813984,33.021590433813984,-33.021590433813984,35,169.08874902119084,FALSE
4.25,31.616933403057207,31.616933403057207,-23.712700052292906,35,169.08874902119084,FALSE
4.5,30.301208375399142,30.301208375399142,-15.150604187699571,35,169.08874902119084,FALSE
4.75,29.068857209490492,29.068857209490492,-7.267214302372623,35,169.08874902119084,FALSE
5,27.91428076638786,27.91428076638786,0,35,169.08874902119084,FALSE
5.25,26.832043129279366,26.832043129279366,6.708010782319842,35,169.08874902119084,FALSE
5.5,25.816991550098322,25.816991550098322,12.908495775049161,35,169.08874902119084,FALSE
5.75,24.864315818970407,24.864315818970407,18.648236864227805,35,169.08874902119084,FALSE
6,23.969567213916662,23.969567213916662,23.969567213916662,35,169.08874902119084,FALSE
6.25,23.12865262004105,23.12865262004105,28.91081577505131,35,169.08874902119084,FALSE
6.5,22.33781494046027,22.33781494046027,33.5067224106904,35,169.08874902119084,FALSE
6.75,21.59360714770797,21.59360714770797,37.788812508488945,35,169.08874902119084,FALSE
7,20.892864453446506,20.892864453446506,41.78572890689301,35,169.08874902119084,FALSE
7.25,20.232677077324283,20.232677077324283,45.52352342397964,35,169.08874902119084,FALSE
7.5,19.610364822433805,19.610364822433805,49.025912056084515,35,169.08874902119084,FALSE
7.75,19.02345392548966,19.02345392548966,52.31449829509657,35,169.08874902119084,FALSE
8,18.4696562660093,18.4696562660093,55.4089687980279,35,169.08874902119084,FALSE
8.25,17.94685084735191,17.94685084735191,58.327265253893714,35,169.08874902119084,FALSE
8.5,17.453067402263073,17.453067402263073,61.08573590792076,35,169.08874902119084,FALSE
8.75,16.98647196321473,16.98647196321473,63.69926986205523,35,169.08874902119084,FALSE
9,16.54535423903518,16.54535423903518,66.18141695614072,35,169.08874902119084,FALSE
9.25,16.128116639388505,16.128116639388505,68.54449571740115,35,169.08874902119084,FALSE
9.5,15.733264784299319,15.733264784299319,70.79969152934693,35,169.08874902119084,FALSE
9.75,15.359399329241313,15.359399329241313,72.95714681389623,35,169.08874902119084,FALSE
10,15.005208930965358,15.005208930965358,75.02604465482679,35,169.08874902119084,FALSE
10.25,14.669464178320457,14.669464178320457,77.0146869361824,35,169.08874902119084,FALSE
10.5,14.35101231749613,14.35101231749613,78.93056774622872,35,169.08874902119084,FALSE
10.75,14.048772612592144,14.048772612592144,80.78044252240483,35,169.08874902119084,FALSE
11,13.761732199259656,13.761732199259656,82.57039319555794,35,169.08874902119084,FALSE
11.25,13.48894230973312,13.48894230973312,84.305889435832,35,169.08874902119084,FALSE
11.5,13.229514770018845,13.229514770018845,85.9918460051225,35,169.08874902119084,FALSE
11.75,12.98261869255014,12.98261869255014,87.63267617471345,35,169.08874902119084,FALSE
12,12.747477308795565,12.747477308795565,89.23234116156895,35,169.08874902119084,FALSE
12.25,12.523364905058855,12.523364905058855,90.79439556167671,35,169.08874902119084,FALSE
