scenario,scenario_id,seed,policy,time_step,price,inventory_start,inventory_end,expected_purchase_probability,unconstrained_demand,sales,stockout,profit,cumulative_profit,cumulative_sales,stockout_frequency,oracle_price,oracle_expected_profit,step_regret,price_decision_regret,cumulative_regret
Baseline Market,baseline_market,2028,Static Pricing,1,6.75,120,108,0.22481042775319623,12,12,FALSE,21,21,12,0,35,101.47317600733315,80.47317600733315,28.25,80.47317600733315
Baseline Market,baseline_market,2028,Static Pricing,2,6.75,108,96,0.2292869296471899,12,12,FALSE,21,42,24,0,35,101.47317600733315,80.47317600733315,28.25,160.9463520146663
Baseline Market,baseline_market,2028,Static Pricing,3,6.75,96,85,0.23379351769428333,11,11,FALSE,19.25,61.25,35,0,35,101.47317600733315,82.22317600733315,28.25,243.16952802199944
Baseline Market,baseline_market,2028,Static Pricing,4,6.75,85,72,0.23605823719575844,13,13,FALSE,22.75,84,48,0,35,101.47317600733315,78.72317600733315,28.25,321.8927040293326
Baseline Market,baseline_market,2028,Static Pricing,5,6.75,72,62,0.23605823719575844,10,10,FALSE,17.5,101.5,58,0,35,101.47317600733315,83.97317600733315,28.25,405.86588003666577
Baseline Market,baseline_market,2028,Static Pricing,6,6.75,62,51,0.23605823719575844,11,11,FALSE,19.25,120.75,69,0,35,101.47317600733315,82.22317600733315,28.25,488.08905604399894
Baseline Market,baseline_market,2028,Static Pricing,7,6.75,51,35,0.23605823719575844,16,16,FALSE,28,148.75,85,0,35,101.47317600733315,73.47317600733315,28.25,561.5622320513321
Baseline Market,baseline_market,2028,Static Pricing,8,6.75,35,25,0.23605823719575844,10,10,FALSE,17.5,166.25,95,0,35,101.47317600733315,83.97317600733315,28.25,645.5354080586652
Baseline Market,baseline_market,2028,Inventory-Aware Pricing,1,6.75,120,108,0.22481042775319623,12,12,FALSE,21,21,12,0,35,101.47317600733315,80.47317600733315,28.25,80.47317600733315
Baseline Market,baseline_market,2028,Inventory-Aware Pricing,2,6.5,108,98,0.23594827106189722,10,10,FALSE,15,36,22,0,35,101.47317600733315,86.47317600733315,28.5,166.9463520146663
Baseline Market,baseline_market,2028,Inventory-Aware Pricing,3,6,98,82,0.2549657552200075,16,16,FALSE,16,52,38,0,35,101.47317600733315,85.47317600733315,29,252.41952802199944
Baseline Market,baseline_market,2028,Inventory-Aware Pricing,4,6,82,66,0.25835338710742767,16,16,FALSE,16,68,54,0,35,101.47317600733315,85.47317600733315,29,337.8927040293326
Baseline Market,baseline_market,2028,Inventory-Aware Pricing,5,6.25,66,53,0.2503951192700854,13,13,FALSE,16.25,84.25,67,0,35,101.47317600733315,85.22317600733315,28.75,423.11588003666577
Baseline Market,baseline_market,2028,Inventory-Aware Pricing,6,6,53,42,0.25835338710742767,11,11,FALSE,11,95.25,78,0,35,101.47317600733315,90.47317600733315,29,513.5890560439989
Baseline Market,baseline_market,2028,Inventory-Aware Pricing,7,5.5,42,26,0.2761053369484615,16,16,FALSE,8,103.25,94,0,35,101.47317600733315,93.47317600733315,29.5,607.062232051332
Baseline Market,baseline_market,2028,Inventory-Aware Pricing,8,5.75,26,9,0.2716340104735239,17,17,FALSE,12.75,116,111,0,35,101.47317600733315,88.72317600733315,29.25,695.7854080586651
Baseline Market,baseline_market,2028,Greedy Revenue Maximization,1,6.75,120,110,0.22481042775319623,10,10,FALSE,17.5,17.5,10,0,35,101.47317600733315,83.97317600733315,28.25,83.97317600733315
Baseline Market,baseline_market,2028,Greedy Revenue Maximization,2,6.75,110,100,0.22853876928740682,10,10,FALSE,17.5,35,20,0,35,101.47317600733315,83.97317600733315,28.25,167.9463520146663
Baseline Market,baseline_market,2028,Greedy Revenue Maximization,3,6.75,100,89,0.23228795020140197,11,11,FALSE,19.25,54.25,31,0,35,101.47317600733315,82.22317600733315,28.25,250.16952802199944
Baseline Market,baseline_market,2028,Greedy Revenue Maximization,4,6.75,89,80,0.23605823719575844,9,9,FALSE,15.75,70,40,0,35,101.47317600733315,85.72317600733315,28.25,335.8927040293326
Baseline Market,baseline_market,2028,Greedy Revenue Maximization,5,6.75,80,69,0.23605823719575844,11,11,FALSE,19.25,89.25,51,0,35,101.47317600733315,82.22317600733315,28.25,418.11588003666577
Baseline Market,baseline_market,2028,Greedy Revenue Maximization,6,6.75,69,55,0.23605823719575844,14,14,FALSE,24.5,113.75,65,0,35,101.47317600733315,76.97317600733315,28.25,495.08905604399894
Baseline Market,baseline_market,2028,Greedy Revenue Maximization,7,6.75,55,40,0.23605823719575844,15,15,FALSE,26.25,140,80,0,35,101.47317600733315,75.22317600733315,28.25,570.3122320513321
Baseline Market,baseline_market,2028,Greedy Revenue Maximization,8,6.75,40,28,0.23605823719575844,12,12,FALSE,21,161,92,0,35,101.47317600733315,80.47317600733315,28.25,650.7854080586652
Baseline Market,baseline_market,2028,Conservative Inventory Preservation,1,6.75,120,109,0.22481042775319623,11,11,FALSE,19.25,19.25,11,0,35,101.47317600733315,82.22317600733315,28.25,82.22317600733315
Baseline Market,baseline_market,2028,Conservative Inventory Preservation,2,6.75,109,103,0.2289127451316689,6,6,FALSE,10.5,29.75,17,0,35,101.47317600733315,90.97317600733315,28.25,173.1963520146663
Baseline Market,baseline_market,2028,Conservative Inventory Preservation,3,6.75,103,90,0.23116099172897636,13,13,FALSE,22.75,52.5,30,0,35,101.47317600733315,78.72317600733315,28.25,251.91952802199944
Baseline Market,baseline_market,2028,Conservative Inventory Preservation,4,6.75,90,80,0.23605823719575844,10,10,FALSE,17.5,70,40,0,35,101.47317600733315,83.97317600733315,28.25,335.8927040293326
Baseline Market,baseline_market,2028,Conservative Inventory Preservation,5,6.75,80,72,0.23605823719575844,8,8,FALSE,14,84,48,0,35,101.47317600733315,87.47317600733315,28.25,423.36588003666577
Baseline Market,baseline_market,2028,Conservative Inventory Preservation,6,6.75,72,63,0.23605823719575844,9,9,FALSE,15.75,99.75,57,0,35,101.47317600733315,85.72317600733315,28.25,509.08905604399894
Baseline Market,baseline_market,2028,Conservative Inventory Preservation,7,6.75,63,50,0.23605823719575844,13,13,FALSE,22.75,122.5,70,0,35,101.47317600733315,78.72317600733315,28.25,587.8122320513321
Baseline Market,baseline_market,2028,Conservative Inventory Preservation,8,6.75,50,37,0.23605823719575844,13,13,FALSE,22.75,145.25,83,0,35,101.47317600733315,78.72317600733315,28.25,666.5354080586652
High Inventory Constraint,high_inventory_constraint,2028,Static Pricing,1,9.75,45,33,0.1837972916450926,12,12,FALSE,57,57,12,0,35,169.08874902119084,112.08874902119084,25.25,112.08874902119084
High Inventory Constraint,high_inventory_constraint,2028,Static Pricing,2,9.75,33,20,0.18724040760624727,13,13,FALSE,61.75,118.75,25,0,35,169.08874902119084,107.33874902119084,25.25,219.42749804238167
High Inventory Constraint,high_inventory_constraint,2028,Static Pricing,3,9.75,20,6,0.18840137426182849,14,14,FALSE,66.5,185.25,39,0,35,169.08874902119084,102.58874902119084,25.25,322.0162470635725
High Inventory Constraint,high_inventory_constraint,2028,Static Pricing,4,9.75,16,0,0.1896948728228866,18,16,TRUE,76,261.25,55,0.25,35,169.08874902119084,93.08874902119084,25.25,415.10499608476334
High Inventory Constraint,high_inventory_constraint,2028,Static Pricing,5,9.75,0,0,0.22689922548664013,14,0,TRUE,0,261.25,55,0.4,1,-0,-0,8.75,415.10499608476334
High Inventory Constraint,high_inventory_constraint,2028,Static Pricing,6,9.75,0,0,0.22575412249189022,17,0,TRUE,0,261.25,55,0.5,1,-0,-0,8.75,415.10499608476334
High Inventory Constraint,high_inventory_constraint,2028,Static Pricing,7,9.75,0,0,0.22804811053924645,18,0,TRUE,0,261.25,55,0.5714285714285714,1,-0,-0,8.75,415.10499608476334
High Inventory Constraint,high_inventory_constraint,2028,Static Pricing,8,9.75,10,0,0.19217328207889334,16,10,TRUE,47.5,308.75,65,0.625,35,169.08874902119084,121.58874902119084,25.25,536.6937451059541
High Inventory Constraint,high_inventory_constraint,2028,Inventory-Aware Pricing,1,9.75,45,27,0.18500988140015684,18,18,FALSE,85.5,85.5,18,0,35,169.08874902119084,83.58874902119084,25.25,83.58874902119084
High Inventory Constraint,high_inventory_constraint,2028,Inventory-Aware Pricing,2,13,27,16,0.1482298760517951,11,11,FALSE,88,173.5,29,0,35,169.08874902119084,81.08874902119084,22,164.67749804238167
High Inventory Constraint,high_inventory_constraint,2028,Inventory-Aware Pricing,3,14.5,16,6,0.1361395241081768,10,10,FALSE,95,268.5,39,0,35,169.08874902119084,74.08874902119084,20.5,238.7662470635725
High Inventory Constraint,high_inventory_constraint,2028,Inventory-Aware Pricing,4,13,16,5,0.146214131345349,11,11,FALSE,88,356.5,50,0,35,169.08874902119084,81.08874902119084,22,319.85499608476334
High Inventory Constraint,high_inventory_constraint,2028,Inventory-Aware Pricing,5,14.5,5,0,0.14630456381499182,10,5,TRUE,47.5,404,55,0.2,35,150,102.5,20.5,422.35499608476334
High Inventory Constraint,high_inventory_constraint,2028,Inventory-Aware Pricing,6,14.25,0,0,0.15844125149377336,12,0,TRUE,0,404,55,0.3333333333333333,1,-0,-0,13.25,422.35499608476334
High Inventory Constraint,high_inventory_constraint,2028,Inventory-Aware Pricing,7,12.75,0,0,0.17468784608107316,12,0,TRUE,0,404,55,0.42857142857142855,1,-0,-0,11.75,422.35499608476334
High Inventory Constraint,high_inventory_constraint,2028,Inventory-Aware Pricing,8,8.5,10,0,0.22173020933515394,18,10,TRUE,35,439,65,0.5,35,169.08874902119084,134.08874902119084,26.5,556.4437451059541
High Inventory Constraint,high_inventory_constraint,2028,Greedy Revenue Maximization,1,9.75,45,30,0.18348889110138597,15,15,FALSE,71.25,71.25,15,0,35,169.08874902119084,97.83874902119084,25.25,97.83874902119084
High Inventory Constraint,high_inventory_constraint,2028,Greedy Revenue Maximization,2,9.75,30,15,0.1895790644008432,15,15,FALSE,71.25,142.5,30,0,35,169.08874902119084,97.83874902119084,25.25,195.67749804238167
High Inventory Constraint,high_inventory_constraint,2028,Greedy Revenue Maximization,3,9.75,15,2,0.1896345996000574,13,13,FALSE,61.75,204.25,43,0,35,169.08874902119084,107.33874902119084,25.25,303.0162470635725
High Inventory Constraint,high_inventory_constraint,2028,Greedy Revenue Maximization,4,9.75,12,0,0.19006587448572287,16,12,TRUE,57,261.25,55,0.25,35,169.08874902119084,112.08874902119084,25.25,415.10499608476334
High Inventory Constraint,high_inventory_constraint,2028,Greedy Revenue Maximization,5,9.75,0,0,0.22623316606623103,23,0,TRUE,0,261.25,55,0.4,1,-0,-0,8.75,415.10499608476334
High Inventory Constraint,high_inventory_constraint,2028,Greedy Revenue Maximization,6,9.75,0,0,0.22543817400938726,17,0,TRUE,0,261.25,55,0.5,1,-0,-0,8.75,415.10499608476334
High Inventory Constraint,high_inventory_constraint,2028,Greedy Revenue Maximization,7,9.75,0,0,0.22441595538225143,20,0,TRUE,0,261.25,55,0.5714285714285714,1,-0,-0,8.75,415.10499608476334
High Inventory Constraint,high_inventory_constraint,2028,Greedy Revenue Maximization,8,9.75,10,0,0.1931382344826565,15,10,TRUE,47.5,308.75,65,0.625,35,169.08874902119084,121.58874902119084,25.25,536.6937451059541
High Inventory Constraint,high_inventory_constraint,2028,Conservative Inventory Preservation,1,9.75,45,30,0.18436752498759332,15,15,FALSE,71.25,71.25,15,0,35,169.08874902119084,97.83874902119084,25.25,97.83874902119084
High Inventory Constraint,high_inventory_constraint,2028,Conservative Inventory Preservation,2,26.5,30,23,0.08890721372932907,7,7,FALSE,150.5,221.75,22,0,35,169.08874902119084,18.588749021190836,8.5,116.42749804238167
High Inventory Constraint,high_inventory_constraint,2028,Conservative Inventory Preservation,3,26.5,23,13,0.08830197609565615,10,10,FALSE,215,436.75,32,0,35,169.08874902119084,0,8.5,116.42749804238167
High Inventory Constraint,high_inventory_constraint,2028,Conservative Inventory Preservation,4,9.75,23,6,0.1858705154526633,17,17,FALSE,80.75,517.5,49,0,35,169.08874902119084,88.33874902119084,25.25,204.7662470635725
High Inventory Constraint,high_inventory_constraint,2028,Conservative Inventory Preservation,5,26.5,6,0,0.09484819051850678,7,6,TRUE,129,646.5,55,0.2,35,169.08874902119084,40.088749021190836,8.5,244.85499608476334
High Inventory Constraint,high_inventory_constraint,2028,Conservative Inventory Preservation,6,26.5,0,0,0.100963332436482,9,0,TRUE,0,646.5,55,0.3333333333333333,1,-0,-0,25.5,244.85499608476334
High Inventory Constraint,high_inventory_constraint,2028,Conservative Inventory Preservation,7,26.5,0,0,0.1011084459640593,9,0,TRUE,0,646.5,55,0.42857142857142855,1,-0,-0,25.5,244.85499608476334
High Inventory Constraint,high_inventory_constraint,2028,Conservative Inventory Preservation,8,9.75,10,0,0.19387648711274788,15,10,TRUE,47.5,694,65,0.5,35,169.08874902119084,121.58874902119084,25.25,366.4437451059542
High Segment Heterogeneity,high_segment_heterogeneity,2028,Static Pricing,1,9.5,120,101,0.30152988797455216,19,19,FALSE,85.5,85.5,19,0,35,355.82005970239555,270.32005970239555,25.5,270.32005970239555
High Segment Heterogeneity,high_segment_heterogeneity,2028,Static Pricing,2,9.5,101,84,0.3071598619431655,17,17,FALSE,76.5,162,36,0,35,355.82005970239555,279.32005970239555,25.5,549.6401194047911
High Segment Heterogeneity,high_segment_heterogeneity,2028,Static Pricing,3,9.5,84,66,0.31112797083661026,18,18,FALSE,81,243,54,0,35,355.82005970239555,274.82005970239555,25.5,824.4601791071866
High Segment Heterogeneity,high_segment_heterogeneity,2028,Static Pricing,4,9.5,66,46,0.3104835114590615,20,20,FALSE,90,333,74,0,35,355.82005970239555,265.82005970239555,25.5,1090.2802388095822
High Segment Heterogeneity,high_segment_heterogeneity,2028,Static Pricing,5,9.5,46,29,0.309772877465929,17,17,FALSE,76.5,409.5,91,0,35,355.82005970239555,279.32005970239555,25.5,1369.6002985119778
High Segment Heterogeneity,high_segment_heterogeneity,2028,Static Pricing,6,9.5,29,7,0.31128458460447056,22,22,FALSE,99,508.5,113,0,35,355.82005970239555,256.82005970239555,25.5,1626.4203582143734
High Segment Heterogeneity,high_segment_heterogeneity,2028,Static Pricing,7,9.5,7,0,0.32325105981137087,20,7,TRUE,31.5,540,120,0.14285714285714285,35,210,178.5,25.5,1804.9203582143734
High Segment Heterogeneity,high_segment_heterogeneity,2028,Static Pricing,8,9.5,0,0,0.32640008136204424,19,0,TRUE,0,540,120,0.25,1,-0,-0,8.5,1804.9203582143734
High Segment Heterogeneity,high_segment_heterogeneity,2028,Static Pricing,9,9.5,0,0,0.327738621664305,20,0,TRUE,0,540,120,0.3333333333333333,1,-0,-0,8.5,1804.9203582143734
High Segment Heterogeneity,high_segment_heterogeneity,2028,Static Pricing,10,9.5,0,0,0.3284179528884756,18,0,TRUE,0,540,120,0.4,1,-0,-0,8.5,1804.9203582143734
High Segment Heterogeneity,high_segment_heterogeneity,2028,Inventory-Aware Pricing,1,9.5,120,100,0.3011348860617352,20,20,FALSE,90,90,20,0,35,355.82005970239555,265.82005970239555,25.5,265.82005970239555
