scenario,scenario_id,seed,export,role,path
Baseline Market,baseline_market,2028,observed_data,blind_analysis_input,outputs/external/baseline_market/seed_2028/observed_data.csv
Baseline Market,baseline_market,2028,latent_truth,evaluation_only,outputs/external/baseline_market/seed_2028/latent_truth.csv
Baseline Market,baseline_market,2028,scenario_metadata,shared_configuration,outputs/external/baseline_market/seed_2028/scenario_metadata.json
Baseline Market,baseline_market,2028,oracle_decisions,evaluation_only,outputs/external/baseline_market/seed_2028/oracle_decisions.csv
High Inventory Constraint,high_inventory_constraint,2028,observed_data,blind_analysis_input,outputs/external/high_inventory_constraint/seed_2028/observed_data.csv
High Inventory Constraint,high_inventory_constraint,2028,latent_truth,evaluation_only,outputs/external/high_inventory_constraint/seed_2028/latent_truth.csv
High Inventory Constraint,high_inventory_constraint,2028,scenario_metadata,shared_configuration,outputs/external/high_inventory_constraint/seed_2028/scenario_metadata.json
High Inventory Constraint,high_inventory_constraint,2028,oracle_decisions,evaluation_only,outputs/external/high_inventory_constraint/seed_2028/oracle_decisions.csv
High Segment Heterogeneity,high_segment_heterogeneity,2028,observed_data,blind_analysis_input,outputs/external/high_segment_heterogeneity/seed_2028/observed_data.csv
High Segment Heterogeneity,high_segment_heterogeneity,2028,latent_truth,evaluation_only,outputs/external/high_segment_heterogeneity/seed_2028/latent_truth.csv
High Segment Heterogeneity,high_segment_heterogeneity,2028,scenario_metadata,shared_configuration,outputs/external/high_segment_heterogeneity/seed_2028/scenario_metadata.json
High Segment Heterogeneity,high_segment_heterogeneity,2028,oracle_decisions,evaluation_only,outputs/external/high_segment_heterogeneity/seed_2028/oracle_decisions.csv
